i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_DM,true_ell_radian,true_bee_radian,true_HRV,true_pml,true_pmb,true_dist_kpc,true_parallax
0,0,301.7422923591237,323.87722325809983,-785.3415895874591,-162971.4112077712,13.207383155822754,1.1451963186264038,-1.3548774719238281,-118.7796859741211,-5.617877960205078,-4.480340480804443,4.380025386810303,0.22830918431282043
1,1,1733.7074368256676,67.63493435309886,997.8462120203368,-122361.26252570981,12.372697830200195,2.2151193618774414,-0.7929221391677856,29.119842529296875,30.27219009399414,-7.372100353240967,2.9822187423706055,0.3353208005428314
2,1,1707.5874402689803,98.53221448670608,1007.5140927790743,-122329.48231877189,12.257936477661133,0.7608245015144348,-0.993840217590332,-177.811279296875,-0.9421093463897705,-34.132530212402344,2.828702211380005,0.3535190224647522
3,2,886.4891140362372,383.236123046625,128.9836548208586,-153305.02506546996,12.88726806640625,5.975829124450684,0.4825025200843811,-201.1934356689453,-22.745540618896484,0.9843637943267822,3.779667854309082,0.26457351446151733
4,2,918.5713825801084,287.02991477732195,138.2767579949032,-154501.06373324455,13.348106384277344,4.03787899017334,0.8015369176864624,7.213935852050781,9.98965072631836,-7.405774116516113,4.673274040222168,0.2139827460050583
5,2,825.4546092197884,317.3652912997104,239.66646445506257,-154997.76001087803,12.03981876373291,3.032193183898926,-0.9949692487716675,45.81785202026367,23.777286529541016,12.92573356628418,2.5583722591400146,0.390873521566391
6,3,469.83013100893595,680.0172235848021,-582.1124601421088,-150582.11896744298,11.400405883789062,5.6100358963012695,-0.7454163432121277,7.9650421142578125,-3.39093017578125,31.271059036254883,1.9058172702789307,0.5247092843055725
7,3,455.31843581339,785.5221997361924,-529.0750607956469,-150034.6745529203,13.10258674621582,5.444166660308838,1.0195000171661377,-64.31668853759766,-17.191082000732422,-1.9889768362045288,4.173661708831787,0.23959776759147644
8,3,426.2887265718165,793.2893034459584,-601.6235218349792,-149033.3095799754,13.096677780151367,1.2675226926803589,-0.5872207880020142,-87.80789947509766,-14.157125473022461,-10.744582176208496,4.1623215675354,0.24025054275989532
9,3,434.01497615203334,877.1419735157426,-525.5291552130037,-148530.88514121922,13.102882385253906,1.675832986831665,0.7976217865943909,26.25682830810547,5.192954063415527,11.86087417602539,4.174230098724365,0.23956513404846191
10,4,349.5536059566724,27.796510794904222,-1212.8791118166725,-159992.3907655969,11.061883926391602,0.03171081468462944,0.6307395100593567,-146.60948181152344,-8.22551441192627,15.04252815246582,1.6307103633880615,0.6132296919822693
11,4,330.5057040563133,42.008526766214395,-1247.6028871462786,-159103.9384735154,10.433189392089844,4.880946159362793,1.1157137155532837,-7.198818206787109,18.01335906982422,-20.50406837463379,1.2207815647125244,0.8191473484039307
12,4,382.858399009968,27.327994882264132,-1112.9908803156266,-161484.99121761383,12.573882102966309,3.783038854598999,-0.4138212502002716,141.0875244140625,5.309443950653076,2.1208012104034424,3.2717225551605225,0.30564939975738525
13,4,339.6751798243826,29.460442204463376,-1262.557816031439,-158915.91493506965,12.34383773803711,3.2809650897979736,-0.5293417572975159,-25.295988082885742,9.47549057006836,-0.4364790618419647,2.9428467750549316,0.33980703353881836
14,4,372.30312726307284,19.995453598339143,-1186.7704292170008,-160167.34649962088,12.498401641845703,3.3221993446350098,-0.3561067283153534,24.51650619506836,9.233251571655273,-0.7612751722335815,3.1599507331848145,0.31646063923835754
15,5,561.8652770536343,49.57271154002695,647.007382219541,-166038.87754927788,12.755426406860352,2.000638484954834,0.5923410654067993,-276.61871337890625,5.759835243225098,9.711572647094727,3.557011127471924,0.2811349034309387
16,5,537.4935173361835,97.87491350768875,595.1954918809168,-166387.84542146925,12.373452186584473,4.13599967956543,1.2600247859954834,125.89276123046875,5.948244571685791,-21.841211318969727,2.983255624771118,0.33520427346229553
