i,true_cluster_id,true_Jr,true_Jz,true_Jphi,true_energy,true_DM,true_ell_radian,true_bee_radian,true_HRV,true_pml,true_pmb,true_dist_kpc,true_parallax
0,0,567.5164532267469,446.4537714723929,-364.02426902728433,-159124.61928700237,13.129217147827148,1.3056776523590088,1.184364914894104,-106.77123260498047,6.1666975021362305,9.03337287902832,4.225163459777832,0.23667722940444946
1,1,687.4515240273729,287.2259434723926,1001.2312620541014,-144000.73527903817,12.920106887817383,4.467798709869385,-0.8761922717094421,379.6124572753906,-2.132897138595581,12.520655632019043,3.8372607231140137,0.26060256361961365
2,1,537.2700483829896,416.0393236662421,932.0862255362442,-147320.3561297114,13.398134231567383,1.2620985507965088,1.040712594985962,-185.2958984375,-11.963346481323242,13.4546480178833,4.782191276550293,0.20910915732383728
3,2,635.2681329450752,113.44532640290396,-661.9131208565824,-159255.34499837842,13.247854232788086,2.5731983184814453,-0.7604758143424988,4.305728912353516,8.626619338989258,-3.422215223312378,4.462425231933594,0.22409339249134064
4,2,641.8728290575325,109.73748694918606,-643.9188914418372,-159450.02056076808,12.988176345825195,4.282691955566406,-0.3942592144012451,76.70509338378906,6.808325290679932,5.3950371742248535,3.959453582763672,0.2525601089000702
5,2,589.9941761775435,118.2163601807904,-740.7973096545775,-158939.89994166317,12.520627975463867,2.5318315029144287,1.2707065343856812,-127.31407165527344,4.5999884605407715,11.376334190368652,3.1924610137939453,0.3132379651069641
6,3,649.2031689228832,417.6872789764506,297.6444336465083,-157901.4228379384,13.4452486038208,6.050168514251709,0.8181090354919434,-14.490097045898438,-10.444890022277832,-12.819828033447266,4.887083053588867,0.20462103188037872
7,3,668.3347698172763,265.0159405740015,392.1318111419329,-159460.70303678335,12.91678237915039,6.2400078773498535,-0.9216564893722534,-119.5767822265625,-18.088363647460938,-11.081613540649414,3.831389904022217,0.2610018849372864
8,3,630.4481188661698,323.80307212401,406.56465189242954,-159065.96308132622,13.080108642578125,2.005261182785034,-0.7957051396369934,-53.06390380859375,10.635851860046387,-11.223258018493652,4.130680561065674,0.2420908510684967
9,3,587.7358638226563,470.10057680904447,303.51041824961476,-158985.86905595646,13.18947982788086,0.13885481655597687,-1.0211859941482544,75.29132080078125,-13.08455753326416,-12.439224243164062,4.344062805175781,0.23019924759864807
10,4,601.4668319599799,492.6487215226118,-450.65233752041615,-154108.51617974744,13.345728874206543,5.358908653259277,-1.1065564155578613,106.4603042602539,2.8190813064575195,8.575789451599121,4.668160915374756,0.21421712636947632
11,4,625.421682976436,429.2539120528836,-502.77198853593296,-153597.60089939804,13.296669006347656,5.341965198516846,0.7389723062515259,184.94749450683594,-13.147879600524902,3.276432514190674,4.5638747215271,0.2191120684146881
12,4,620.316774058978,438.306119666844,-536.6447754668661,-152656.3680654519,13.237805366516113,0.03580809384584427,0.582583487033844,250.32945251464844,-6.92342472076416,-5.5855841636657715,4.441821098327637,0.22513288259506226
13,4,613.6792738102044,420.3732866971839,-595.2434059574299,-152048.87919776663,12.836347579956055,0.5012384653091431,0.8021793961524963,-215.64749145507812,1.648388385772705,8.65744400024414,3.6920671463012695,0.2708509862422943
14,4,720.6318491184343,266.3435112089837,-557.6984975226186,-152994.9761981846,13.230974197387695,2.9970991611480713,0.41209661960601807,-87.87931823730469,9.113593101501465,4.548662185668945,4.427870750427246,0.2258421778678894
15,5,103.85690631657313,69.62638443010059,-1460.998921866382,-161434.34372566405,12.68464469909668,5.966610908508301,0.4010330140590668,-119.07169342041016,-1.6202757358551025,2.2849128246307373,3.4429354667663574,0.2904498279094696
16,5,59.78485918443529,51.463413791664244,-1685.2327741906554,-157517.09983652938,12.174921035766602,4.1899094581604,0.6695823073387146,72.02156829833984,-0.2773617208003998,-3.56085205078125,2.722602367401123,0.36729565262794495
17,5,69.37371173329707,57.78555624166902,-1615.3482765802228,-158878.74157796882,12.50206470489502,1.7096171379089355,0.3823193311691284,-49.39051055908203,-0.44911763072013855,4.325592517852783,3.16528582572937,0.3159272372722626
18,5,76.87439256752558,36.41179431945539,-1604.8483572660214,-159830.03730701824,11.9568452835083,0.1852533519268036,-0.4053404629230499,74.2920913696289,0.3182426989078522,0.5121780037879944,2.4624595642089844,0.40609803795814514
19,5,67.12394184704995,51.19809082532072,-1630.467921720631,-158814.44969816186,13.141048431396484,1.425262212753296,-0.3915049135684967,-42.65606689453125,-1.5954322814941406,-1.0175882577896118,4.2482452392578125,0.235391303896904
20,5,66.33050735084237,49.51690045699338,-1674.2774494051262,-157654.85414492397,11.446586608886719,1.7097679376602173,-0.464978963136673,-92.02892303466797,-7.890147686004639,0.8994585871696472,1.9467823505401611,0.5136681199073792
21,6,693.469527824827,100.38824644300112,120.82750245146734,-172466.50420514357,12.56635570526123,4.040221214294434,-1.2175155878067017,50.54512405395508,11.605098724365234,11.633500099182129,3.260401487350464,0.30671069025993347
22,6,693.9477570979443,80.82895832395931,138.87954535125525,-173045.8217437436,13.229522705078125,1.6210113763809204,-0.6602770090103149,-216.3326873779297,0.3080401122570038,-7.828478813171387,4.424911022186279,0.22599324584007263
23,6,659.8037510331127,116.36624703316004,138.05194986321112,-172995.9231241599,12.822369575500488,4.353734970092773,-1.1602139472961426,120.20046997070312,4.547657489776611,12.794320106506348,3.6683762073516846,0.2726001739501953
